# CREATED BY M. WILD: Concatenated from original data, added x/d column
# Sandia piloted CH4-air jet flame D (1997)
# Profile of Favre average mass fractions
# x/d    r/d    F       Frms    T(K)   Trms   YO2       YO2rms    YN2       YN2rms    YH2       YH2rms    YH2O      YH2Orms   YCH4      YCH4rms   YCO       YCOrms    YCO2      YCO2rms   YOH       YOHrms    YNO       YNOrms    YCOLIF    YCOrms
  1.0  -0.60  0.6222  0.1009  1420.   273.  9.06E-02  3.88E-02  6.82E-01  1.86E-02  8.54E-04  2.87E-04  6.74E-02  2.15E-02  6.12E-02  2.54E-02  2.15E-02  7.46E-03  7.71E-02  2.14E-02  6.14E-04  4.56E-04  9.19E-06  3.80E-06  1.99E-02  6.60E-03
  1.0  -0.53  0.8110  0.0892   714.   218.  1.71E-01  2.31E-02  6.59E-01  1.19E-02  3.39E-04  2.06E-04  2.35E-02  1.22E-02  1.15E-01  1.99E-02  5.19E-03  6.18E-03  2.54E-02  1.62E-02  4.42E-05  7.29E-05  2.89E-06  1.46E-06  5.66E-03  4.10E-03
  1.0  -0.46  0.9509  0.0619   391.    76.  1.94E-01  7.61E-03  6.49E-01  7.83E-03  6.17E-05  5.74E-05  6.29E-03  4.55E-03  1.46E-01  1.13E-02  0.00E+00  1.38E-03  4.00E-03  4.75E-03  0.00E+00  8.32E-06  7.66E-07  4.81E-07  8.52E-04  8.75E-04
  1.0  -0.39  1.0084  0.0352   305.    16.  1.95E-01  4.45E-03  6.46E-01  5.87E-03  8.38E-06  1.60E-05  1.20E-03  9.52E-04  1.57E-01  5.53E-03  0.00E+00  9.76E-04  1.35E-04  1.04E-03  0.00E+00  7.94E-07  2.18E-07  1.65E-07  1.37E-04  1.98E-04
  1.0  -0.04  1.0049  0.0297   288.     3.  1.96E-01  4.29E-03  6.47E-01  5.58E-03  7.37E-07  1.36E-05  4.89E-04  1.49E-04  1.57E-01  4.58E-03  8.65E-05  9.09E-04  0.00E+00  8.13E-04  2.04E-07  7.28E-07  9.90E-08  8.61E-08  4.36E-05  6.85E-05
  1.0   0.38  1.0140  0.0346   302.    14.  1.94E-01  5.12E-03  6.46E-01  5.74E-03  1.06E-05  1.89E-05  1.01E-03  7.97E-04  1.58E-01  5.35E-03  2.72E-04  1.01E-03  4.99E-04  1.38E-03  3.23E-07  7.59E-07  1.24E-07  1.21E-07  1.14E-04  1.22E-04
  1.0   0.44  0.9898  0.0547   380.    72.  1.82E-01  1.18E-02  6.53E-01  9.81E-03  8.68E-05  7.28E-05  6.24E-03  5.34E-03  1.52E-01  1.02E-02  1.63E-03  1.76E-03  6.33E-03  5.79E-03  2.87E-06  1.31E-05  5.42E-07  4.29E-07  7.67E-04  7.68E-04
  1.0   0.51  0.8793  0.1043   626.   205.  1.48E-01  2.59E-02  6.73E-01  1.75E-02  3.43E-04  2.00E-04  2.41E-02  1.37E-02  1.26E-01  2.28E-02  7.58E-03  5.58E-03  2.42E-02  1.51E-02  5.67E-05  8.42E-05  2.41E-06  1.58E-06  4.24E-03  3.38E-03
  1.0   0.58  0.5910  0.1157  1319.   302.  7.09E-02  2.96E-02  7.09E-01  1.32E-02  7.72E-04  2.74E-04  6.92E-02  2.04E-02  5.70E-02  2.85E-02  2.12E-02  7.10E-03  7.35E-02  2.19E-02  8.68E-04  4.96E-04  9.59E-06  4.17E-06  1.91E-02  7.89E-03
  1.0   0.65  0.3381  0.0281  1875.    56.  4.01E-02  6.41E-03  7.23E-01  1.04E-02  4.62E-04  2.42E-04  1.00E-01  6.00E-03  4.99E-03  3.98E-03  1.42E-02  5.73E-03  1.11E-01  6.75E-03  2.74E-03  3.56E-04  1.85E-05  2.09E-06  1.75E-02  4.10E-03
