 # CREATED BY M. WILD: Concatenated from original data, added X/D column
 # flame name      : Sandia Piloted CH4/AIR JET FLAME D
 # institute       : Energie- und Kraftwerkstechnik, TU Darmstadt, Germany
 # data            : 2d-LDA measurements
 # fuel  mixture   : 25% methane/ 75% air
 # pilot mixture   : a premixture of C2H2, H2, air, CO2 and N2
 # diameter        : d_nozzle = 0.0072 m, d_i_pilot = 0 .0077 m, d_a_pilot  = 0.0182 m
 # bulk velocity   : U_fuel = 49.6 m/s
 # Reynolds number : Re_fuel = 22400
 # data rows       : 22
 # data columns    : 5
 # X/D[-]       R/D[-]           <U>[m/s]         <u`u`>[m2/s2]    <V>[m/s]         <v`v`>[m2/s2]    <u`v`>[m2/s2]
 1.00000000     0.00000000      62.77070000       5.06153705      -0.01954670       2.03595514      -0.22850490
 1.00000000     0.06944444      62.22083000       6.96316517      -0.14003320       2.33520575       0.25845210
 1.00000000     0.13888890      61.13279000       8.89902880      -0.23836880       2.72120655       1.52133700
 1.00000000     0.20833330      59.15261000      12.55313953      -0.26040900       3.15034811       1.10537900
 1.00000000     0.27777780      56.81018000      16.49805677      -0.38118620       3.90166787       2.46798500
 1.00000000     0.34722220      53.59375000      19.54007761      -0.39894210       4.41748758       3.15078100
 1.00000000     0.41666670      49.71984000      23.45628596      -0.56057540       5.79621996       2.93983800
 1.00000000     0.48611110      43.72466000      35.08567244      -0.09039240       6.36847621       5.12777700
 1.00000000     0.55555560      32.07964000      62.01792452       1.33721400       8.28284946      13.41085000
 1.00000000     0.62500000      18.42654000      43.18562427       1.52226300      11.51384696      15.47650000
 1.00000000     0.69444440       9.66612800       1.46921792      -1.16464100       1.94390797       1.15088600
 1.00000000     0.76388890      11.05058000       0.73601248      -1.03607200       0.48270355       0.06413060
 1.00000000     0.83333330      12.92358000       0.38540766      -0.80740230       0.14168660      -0.11440830
 1.00000000     0.90277780      13.82696000       0.26010357      -0.64462140       0.10488757      -0.04773020
 1.00000000     0.97222220      13.95017000       0.31784642      -0.50267090       0.13034837      -0.03388770
 1.00000000     1.04166700      14.57195000       0.75575256      -0.66693180       0.14892838      -0.17095150
 1.00000000     1.11111100      15.41350000       0.71578673      -0.50554360       0.15737192      -0.00608330
 1.00000000     1.18055600      14.35067000       1.19181544      -0.18753430       0.16322077       0.17724890
 1.00000000     1.25000000       9.94555600       2.95879905       0.07757000       0.10865323       0.32371320
 1.00000000     1.31944400       3.53985500       0.48771144      -0.01221470       0.11232284      -0.19289110
 1.00000000     1.38888900       1.10421600       0.04224344      -0.11328270       0.06204090      -0.00241690
 1.00000000     1.45833300       0.45991320       0.03395035      -0.17299380       0.04663341      -0.00170550
 2.00000000     0.00000000      62.70103000       6.33605419      -0.07272920       2.24055094      -0.15248000
 2.00000000     0.06944444      62.41280000       6.37319618      -0.19416390       2.47113055      -0.01891910
 2.00000000     0.13888890      61.39093000       9.25477397      -0.32028570       2.95208409       0.50611400
 2.00000000     0.20833330      59.66245000      12.63767661      -0.39092750       3.65928588       1.68597000
 2.00000000     0.27777780      57.11359000      17.40746980      -0.51829130       4.59940352       1.05788300
 2.00000000     0.34722220      53.62472000      21.16224486      -0.54837190       5.15875372       3.33587300
 2.00000000     0.41666670      49.67942000      24.31396218      -0.28560440       5.53994135       4.13468300
 2.00000000     0.48611110      45.01464000      31.88744573       0.19338740       6.93747135       5.87071900
 2.00000000     0.55555560      38.18560000      45.17006667       0.78382350       8.81050213      10.86565000
 2.00000000     0.62500000      22.38498000      40.46667204       0.83076440       8.55642647      10.92607000
 2.00000000     0.69444440      19.50396000      30.13501647       0.91011200       9.32738021      12.68717000
 2.00000000     0.76388890      14.46183000       3.60638710      -1.01347100       2.41587647      -0.43961490
 2.00000000     0.83333330      11.80392000       3.39937350      -0.52952200       0.70576314      -0.27270140
 2.00000000     0.90277780      13.47640000       2.19248730      -0.28672140       0.56986450      -0.02448710
 2.00000000     0.97222220      14.08478000       3.15936405      -0.20844130       1.53347110      -1.76846900
 2.00000000     1.04166700      15.07737000       1.15923336      -1.44325100       0.66632561       0.92034680
 2.00000000     1.11111100      13.33755000       1.65014064      -0.78130780       0.71548100       1.01246000
 2.00000000     1.18055600      11.65579000       3.81101847       0.27159410       1.21666636       2.04938300
 2.00000000     1.25000000       7.45581800       5.90265489      -0.29430260       1.45436605       5.60456200
 2.00000000     1.31944400       4.29483800       2.13578349      -0.16428170       0.54848436       1.30173500
 2.00000000     1.38888900       2.59013900       0.79471733       0.02260760       0.48736958       0.32661830
 2.00000000     1.45833300       1.53450100       0.21716439      -0.01922630       0.52716632       0.25371660
 3.00000000     0.00000000      64.48002000       4.65721433      -0.18519840       2.54070848       0.13016170
 3.00000000     0.13888890      62.19467000      10.41311595      -0.48155730       3.97212075       1.26704900
 3.00000000     0.27777780      56.35875000      20.82799661      -0.68809130       6.03137113       2.77680700
 3.00000000     0.41666670      48.75021000      28.69534909      -0.25109280       8.35827996       4.01011900
 3.00000000     0.55555560      36.99521000      42.77781323       0.69403430      10.50948768      11.83488000
 3.00000000     0.69444440      23.17790000      37.89152216       1.34800400      11.00122194      14.24000000
 3.00000000     0.83333330      14.47203000      13.35647393       1.43219900       8.83957335       2.38647200
 3.00000000     0.97222220       9.94773300       2.99810610      -0.80867180       2.12251099       0.92979250
 3.00000000     1.11111100       7.71919200       1.97970528      -0.63912400       0.35529229       0.56070800
 3.00000000     1.25000000       5.08270900       1.40657228      -0.36465320       0.55346428       0.52464430
 3.00000000     1.38888900       3.14596600       0.77826625      -0.14679140       0.38007977       0.15945230
 3.00000000     1.52777800       1.82557600       0.53224028      -0.04608000       0.38464047       0.21842190
 3.00000000     1.66666700       1.09724700       0.43046839       0.01220670       0.37429630       0.21144180
 3.00000000     1.94444400       0.46552950       0.10709924      -0.06942810       0.13240727       0.04089540
 3.00000000     2.22222200       0.40513640       0.04575685      -0.09380470       0.05362564       0.00661900
