# MODIFIED BY M. Wild: Concatenated from b4f3/Radial Means/b4f3b*_Fav.txt
#
# Jet bulk velocity 108 m/s.
#
# Mass fractions in percent, NO and NORMS multiplied by 100.
#
# X/Db 	R(mm)	ZI	ZIRMS	T(K)	TRMS	O2	N2	H2	H20	CO	CO2	C-H	OH	NOx100	TNDR	O2RMS	N2RMS	H2RMS	H20RMS	CORMS	CO2RMS	C-HRMS	OHRMS	NORMS	TNDRRMS
#
0.26	-26.30	0.0022	0.0023	 366	  76	22.3180	76.5300	0.0045	1.0750	0.0420	0.0650	0.0030	0.01100	0.0186	1.0750	1.0450	0.4600	0.0054	0.5140	0.0560	0.3010	0.0100	0.01040	0.1225	0.0180
0.26	-25.30	0.0103	0.0071	 655	 267	18.8530	76.9300	0.0224	3.0370	0.1890	1.0390	0.0220	0.05070	0.0709	1.0840	3.1140	0.7200	0.0206	1.7520	0.1610	1.2580	0.0400	0.05800	0.0657	0.0330
0.26	-24.30	0.0398	0.0115	1705	 354	6.5270	72.4400	0.1131	10.1910	1.3380	6.3630	0.0350	0.21370	0.4741	1.1070	4.4600	3.4500	0.0785	2.5270	0.8890	2.0000	0.0800	0.07250	0.2002	0.0640
0.26	-23.30	0.0585	0.0037	2156	 103	0.9970	63.1600	0.3258	13.5000	4.0860	7.2470	0.0330	0.11040	0.7242	1.2520	0.8090	3.4500	0.1119	1.0290	1.0990	0.9160	0.0850	0.07480	0.1842	0.0800
0.26	-22.30	0.0613	0.0042	2109	 131	1.1820	60.9700	0.4437	13.9960	4.7730	6.8840	0.0770	0.03630	0.6291	1.2660	1.0710	3.1200	0.1180	1.3080	0.7750	1.0290	0.2550	0.03400	0.1857	0.0920
0.26	-20.20	0.0615	0.0050	2082	 137	1.4470	60.6200	0.4896	14.3610	4.8010	6.8680	0.0680	0.02400	0.6192	1.2510	1.0880	3.0200	0.1248	1.4250	0.6720	1.0900	0.3460	0.02550	0.1744	0.1040
0.26	-18.20	0.0622	0.0048	2066	 138	1.5390	60.3700	0.5195	14.5410	4.9000	6.8540	0.1070	0.02370	0.6131	1.2460	1.1440	3.2100	0.1259	1.4080	0.6190	1.0680	0.2760	0.01600	0.1616	0.1120
0.26	-16.20	0.0628	0.0064	2039	 135	1.6370	60.4400	0.5416	14.9330	4.9370	7.0000	0.1480	0.02340	0.5932	1.2220	1.1930	3.3200	0.1283	1.5640	0.6040	1.1390	0.4410	0.01500	0.1478	0.1220
0.26	-14.20	0.0642	0.0090	2021	 137	1.6490	60.7600	0.5647	15.2040	5.0030	7.0580	0.2610	0.02330	0.5823	1.1950	1.2060	3.5400	0.1422	1.6510	0.5860	1.1680	0.7210	0.01920	0.1368	0.1280
0.26	-12.10	0.0658	0.0118	1992	 139	1.7380	60.7200	0.5939	15.2040	4.9500	7.2030	0.4170	0.02300	0.5648	1.1860	1.2900	3.5700	0.1623	1.4950	0.5840	1.0170	0.9950	0.00790	0.1354	0.1260
0.26	-10.10	0.0664	0.0116	1984	 133	1.7150	61.0300	0.6081	15.3910	4.9730	7.2040	0.4470	0.02290	0.5467	1.1720	1.2940	3.7200	0.1553	1.6240	0.5800	1.0550	0.9760	0.01030	0.1258	0.1280
0.26	-8.10	0.0693	0.0131	1954	 128	1.6040	61.6900	0.6783	15.4510	4.9640	7.1800	0.6140	0.02420	0.5259	1.1560	1.2010	3.7500	0.1661	1.6530	0.5360	1.0840	1.1360	0.01270	0.1139	0.1290
0.26	-6.00	0.0734	0.0160	1932	 121	1.4490	62.0000	0.7176	15.6760	5.0330	7.2710	0.9680	0.02410	0.5256	1.1330	1.1770	3.7100	0.1830	1.5440	0.5040	0.9810	1.4300	0.00750	0.1151	0.1190
0.26	-5.00	0.0811	0.0223	1879	 120	1.3800	62.3500	0.8688	15.4230	4.9930	7.1290	1.5560	0.02290	0.4822	1.1160	1.1880	3.4500	0.2418	1.4880	0.4820	1.0200	2.0810	0.00560	0.1064	0.1100
0.26	-4.00	0.1267	0.0568	1736	 168	1.1290	60.6000	1.3743	14.0310	4.7870	6.2980	5.8440	0.01720	0.3850	1.1300	1.0090	3.8500	0.5236	1.4580	0.4450	1.1740	5.5920	0.00800	0.1082	0.0920
0.26	-3.00	0.3248	0.0971	1212	 194	1.0390	48.8500	3.3491	10.2850	3.7410	4.5930	25.1880	0.00160	0.1638	1.1990	0.8120	7.0700	0.8667	1.7250	0.6410	1.3180	9.7890	0.00490	0.0701	0.1060
0.26	-2.00	0.5930	0.1073	 705	 134	1.6300	27.8300	5.9664	5.9400	2.0700	3.2110	51.7120	0.00000	0.0565	1.1990	0.9090	8.0100	1.0005	1.7050	0.6500	1.3780	10.6870	0.00000	0.0271	0.0860
0.26	-0.90	0.8298	0.0756	 426	  60	2.1280	9.4800	8.1600	2.1670	0.5830	1.0620	75.3540	0.00000	0.0144	1.1280	0.7730	5.2500	0.8172	1.2260	0.4190	0.9990	7.3580	0.00000	0.0105	0.0430
0.26	0.10	0.9374	0.0177	 337	  10	1.9330	1.8600	9.3320	0.2860	0.0520	0.2460	85.6320	0.00000	0.0006	1.1160	0.5920	1.0000	0.3993	0.2500	0.0610	0.3450	1.6370	0.00000	0.0008	0.0160
0.26	1.10	0.8971	0.0442	 377	  39	1.3610	5.5000	9.1415	0.8900	0.2900	0.7610	81.1230	0.00000	0.0065	1.1710	0.7770	3.4700	0.5009	0.7600	0.2840	0.6580	4.5500	0.00000	0.0062	0.0390
