 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 2: 1 December 1999 (Total:three data sets)								
 x/D_b       	normalised downstream position
 r/R_b		normalised radial position
 U 		mean axial velocity						
 V 		mean radial velocity						
 rms u		rms axial velocity						
 rms v		rms radial velocity						
 <u'v'>		Reynold's shear stress						
 n		number of <u'v'> samples
 %err		% statistical error in <u'v'> ie 1/sqrt(n)

x/D_b   r/R_b    U        V     rms u   rms v   <u'v'>  n        %err
                (m/s)   (m/s)   (m/s)   (m/s)

0.06	0	75.18	-0.10	3.62	2.78	3.49	47	15%
0.06	0.02	74.40	0.01	3.87	2.94	-0.66	50	14%
0.06	0.04	70.99	-0.06	4.87	3.12	-0.63	79	11%
0.06	0.06	53.03	0.14	9.10	4.49	2.98	95	10%
0.06	0.08	27.30	-2.24	11.47	6.14	21.12	142	8%
0.06	0.1	5.04	-0.62	6.42	4.97	9.31	840	3%
0.06	0.12	-1.44	1.58	2.42	1.67	0.90	1685	2%
0.06	0.16	-1.21	1.21	2.49	1.88	0.66	1664	2%
0.06	0.2	-1.20	0.76	2.42	1.98	0.77	1612	2%
0.06	0.24	-1.03	0.36	2.45	1.96	1.01	1628	2%
0.06	0.32	-0.82	-0.61	2.32	2.47	1.10	1456	3%
0.06	0.4	-0.87	-0.96	2.24	1.92	0.89	1544	3%
0.06	0.48	-0.68	-1.57	2.16	1.85	0.74	1493	3%
0.06	0.56	-0.55	-1.98	1.99	1.73	0.68	1527	3%
0.06	0.64	-0.38	-2.27	1.86	1.64	0.46	1564	3%
0.06	0.72	-0.02	-2.38	1.73	1.54	0.30	1528	3%
0.06	0.8	0.20	-2.22	1.54	1.45	0.13	1583	3%
0.06	0.88	0.44	-1.99	1.34	1.38	0.19	1566	3%
0.06	0.92	0.48	-1.74	1.27	1.30	0.33	1507	3%
0.06	0.96	0.39	-1.19	1.27	1.20	0.10	1592	3%
0.06	1	4.74	-0.50	2.88	1.96	-2.35	1373	3%
0.06	1.04	15.46	0.79	2.75	1.83	-5.99	137	9%
0.06	1.12	17.28	0.78	1.58	1.25	-0.53	346	5%
0.06	1.2	20.33	0.74	1.99	1.28	0.31	347	5%
0.2	0	74.83	-0.06	4.64	3.82	-0.80	82	11%
0.2	0.02	69.12	0.53	7.68	4.47	-0.11	80	11%
0.2	0.04	63.52	0.21	9.82	5.08	14.93	99	10%
0.2	0.06	43.95	-1.34	12.26	6.39	18.70	97	10%
0.2	0.08	33.00	-1.81	11.84	6.86	20.18	129	9%
0.2	0.1	15.81	-1.48	9.64	6.28	36.01	313	6%
0.2	0.12	9.66	-1.27	8.16	5.26	17.22	544	4%
0.2	0.16	0.78	0.22	5.45	3.43	5.10	1401	3%
0.2	0.2	-3.09	1.01	2.94	1.96	1.35	1637	2%
0.2	0.24	-3.58	0.62	2.66	1.72	0.89	1614	2%
0.2	0.32	-3.70	-0.04	2.54	1.69	0.24	1486	3%
