Normalised Initial Conditions for the Bluff-Body Stabilised Jet Flames
Column 1:  r / R  (r = radial distance, R  = radius of the central fuel jet)
Column 2:  u / U  (u = mean axial velocity)
Column 3: u' / U  (u'= rms velocity fluctuations)

Note: if r/R < 1 then 
           U = U_j  (U_j = Bulk velocity at the jet exit plane)
      if r/R > 1 and r/R < r/R_b (R_b = radius of the bluff-body) then 
           u and u' are taken as zero at the ceramic surface.
      if r/R > R_b then 
           U = U_e (U_e = mean coflow air velocity)

MODIFIED BY M. WILD, 2012-12-19: Added x/D column

    x/D        r/R           u/U            u'/U
   -----      -----         -----          ------      
 0.0E+000 0.000000E+000 1.160000E+000 1.000000E-001
 0.0E+000 2.777778E-001 1.047500E+000 1.060000E-001
 0.0E+000 5.555556E-001 8.850000E-001 1.160000E-001
 0.0E+000 8.333334E-001 6.550000E-001 1.400000E-001
 0.0E+000 1.000000E+000 0.000000E+000 1.510000E-001
 0.0E+000 1.005556E+000 0.000000E+000 0.000000E+000
 0.0E+000 1.666667E+000 0.000000E+000 0.000000E+000
 0.0E+000 2.777778E+000 0.000000E+000 0.000000E+000
 0.0E+000 3.333333E+000 0.000000E+000 0.000000E+000
 0.0E+000 4.444445E+000 0.000000E+000 0.000000E+000
 0.0E+000 5.555556E+000 0.000000E+000 0.000000E+000
 0.0E+000 7.222222E+000 0.000000E+000 0.000000E+000
 0.0E+000 8.888889E+000 0.000000E+000 0.000000E+000
 0.0E+000 1.111111E+001 0.000000E+000 0.000000E+000
 0.0E+000 1.333333E+001 0.000000E+000 0.000000E+000
 0.0E+000 1.333333E+001 0.000000E+000 0.000000E+000
 0.0E+000 1.361111E+001 0.000000E+000 0.000000E+000
 0.0E+000 1.388889E+001 3.952000E-002 6.360000E-002
 0.0E+000 1.416667E+001 8.999800E-001 9.980000E-002
 0.0E+000 1.444444E+001 9.325200E-001 6.720000E-002
 0.0E+000 1.472222E+001 9.636900E-001 5.560000E-002
 0.0E+000 1.500000E+001 9.869900E-001 5.100000E-002
 0.0E+000 1.527778E+001 9.916500E-001 4.280000E-002
 0.0E+000 1.555556E+001 9.999400E-001 3.720000E-002
 0.0E+000 1.583333E+001 1.000030E+000 3.160000E-002
 0.0E+000 1.611111E+001 1.000020E+000 3.060000E-002
 0.0E+000 1.638889E+001 1.000010E+000 2.810000E-002
 0.0E+000 1.666667E+001 1.000000E+000 2.810000E-002
