 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 1: 1995 (Total:three data sets)								
 x/D_b       	normalised downstream position
 r/R_b		normalised radial position
 U 		mean axial velocity						
 V 		mean radial velocity						
 rms u		rms axial velocity						
 rms v		rms radial velocity						

      x/D_b     r/R_b      U        rms(u)     V       rms(v)
                          m/s        m/s      m/s       m/s 

      0.20      0.00     65.70      7.30      0.00      2.20
      0.20      0.08     24.10      7.30      0.00      3.64
      0.20      0.16     -0.80      2.08      0.62      1.56
      0.20      0.24     -1.80      1.00      0.31      1.35
      0.20      0.32     -1.80      1.00      0.21      1.35
      0.20      0.40     -2.90      1.00      0.10      1.45
      0.20      0.48     -1.80      1.00     -0.52      1.35
      0.20      0.56     -1.80      1.00     -0.73      1.25
      0.20      0.64     -0.30      1.00     -0.83      1.25
      0.20      0.72     -1.80      1.56     -0.90      1.14
      0.20      0.80     -0.83      1.00     -1.25      1.14
      0.20      0.88      0.73      1.00     -0.73      2.10
      0.20      0.96      4.37      3.10      1.25      2.10
      0.20      1.00     15.30      2.60      0.73      1.60
      0.20      1.04     18.40      1.56      0.62      1.35
      0.20      1.12     20.50      1.00      0.73      0.66
      0.20      1.20     21.00      1.00     -0.73      0.50
      0.40      0.00     49.10      7.28      0.00      3.65
      0.40      0.08     26.21      7.28     -1.56      3.65
      0.40      0.16      8.53      5.20      0.00      2.60
      0.40      0.24     -2.90      4.16      0.52      1.87
      0.40      0.32     -3.95      1.56      0.00      1.66
      0.40      0.40     -7.07      2.08     -0.20      1.56
      0.40      0.48     -5.00      1.00     -0.73      1.45
      0.40      0.56     -3.95      1.00     -1.35      1.45
      0.40      0.64     -5.00      1.00     -1.45      1.97
      0.40      0.72     -2.90      1.56     -1.14      1.56
      0.40      0.80     -0.83      2.08      0.73      1.66
      0.40      0.88      4.37      1.00      0.42      2.08
