 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 3: 15 December 1999 (Total:three data sets)								
 x/D_b       	normalised downstream position
 r/R_b		normalised radial position
 U 		mean axial velocity						
 V 		mean radial velocity						
 rms u		rms axial velocity						
 rms v		rms radial velocity						
 <u'v'>		Reynold's shear stress						
 n		number of <u'v'> samples
 %err		% statistical error in <u'v'> ie 1/sqrt(n)

x/D_b   r/R_b    U        V     rms u   rms v   <u'v'>  n        %err
                (m/s)   (m/s)   (m/s)   (m/s)

0.06	0	76.32	-0.07	3.57	2.62	0.90	5	44.7%
0.06	0.02	75.37	0.15	3.87	2.71	1.74	7	37.8%
0.06	0.04	69.47	0.58	5.43	3.23	1.00	2	70.7%
0.06	0.06	52.90	0.89	8.39	4.17	4.77	192	7.2%
0.06	0.08	24.21	-1.98	11.24	5.94	21.98	210	6.9%
0.06	0.12	-1.17	1.69	2.30	1.50	0.38	2174	2.1%
0.06	0.16	-1.02	1.03	2.42	1.69	0.41	2044	2.2%
0.06	0.2	-1.01	0.59	2.47	1.87	0.78	2038	2.2%
0.06	0.24	-0.97	0.04	2.33	2.02	0.97	1977	2.2%
0.06	0.32	-1.02	-0.24	2.08	1.83	0.21	1466	2.6%
0.06	0.4	-1.09	-0.44	2.11	1.76	0.45	2308	2.1%
0.06	0.48	-0.80	-1.64	2.01	1.84	0.63	1758	2.4%
0.06	0.56	-0.85	-1.68	1.90	1.66	0.20	1465	2.6%
0.06	0.64	-0.57	-1.91	1.80	1.65	0.28	1486	2.6%
0.06	0.72	-0.38	-1.91	1.69	1.50	0.34	1488	2.6%
0.06	0.8	0.05	-1.90	1.46	1.44	0.08	1633	2.5%
0.06	0.88	0.20	-1.73	1.37	1.41	0.26	1785	2.4%
0.06	0.92	0.27	-1.44	1.32	1.24	0.16	1670	2.4%
0.06	0.96	0.45	-0.85	1.48	1.42	-0.27	1693	2.4%
0.06	1	9.46	0.92	3.77	2.37	-5.86	892	3.3%
0.06	1.04	16.83	1.23	1.78	1.34	-0.06	192	7.2%
0.06	1.12	16.86	0.76	1.43	1.11	-0.39	424	4.9%
0.06	1.2	20.18	0.69	1.81	1.28	0.01	48	14.4%
0.2	0	75.27	-0.14	3.84	3.22	0.17	85	10.8%
0.2	0.02	71.52	0.58	5.60	3.57	2.24	149	8.2%
0.2	0.04	68.45	0.87	7.34	3.77	6.92	296	5.8%
0.2	0.06	59.20	0.35	9.92	4.73	10.49	105	9.8%
0.2	0.08	42.30	-1.09	11.31	5.73	14.88	373	5.2%
0.2	0.12	13.61	-1.37	8.92	5.80	28.77	550	4.3%
0.2	0.16	0.46	0.17	4.92	3.35	5.10	1861	2.3%
0.2	0.2	-2.32	0.89	3.14	2.01	1.83	1860	2.3%
0.2	0.24	-3.11	0.83	2.55	1.59	0.46	1347	2.7%
0.2	0.32	-3.37	0.04	2.58	1.77	0.21	1800	2.4%
0.2	0.4	-3.56	-0.32	2.71	1.72	0.09	1574	2.5%
